"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","6337","0","1","0.000000","0","0"
"","0","512","0","1","0.000000","513","0"
"/Game/KiteDemo/Material/M_Photoscan_Master_Displacement.M_Photoscan_Master_Displacement","0","65","63","1","99.306686","63","193"
"/Game/StylizedEnvironment/Demo/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","52","56","2","51.217564","0","56"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","0","24","24","2","22.213860","0","24"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","102","102","1","13.594247","0","102"
"/Game/WoodenProps/Materials/Rope.Rope","0","12","12","1","9.661951","0","12"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","46","48","6","8.423225","0","48"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","2","2","1","2.167589","0","2"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","63","63","1","56.192715","0","63"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","4","4","1","0.990866","0","4"
"/Engine/EditorLandscapeResources/MaskBrushMaterial.MaskBrushMaterial","0","5","5","1","0.924822","3","5"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","14","14","1","1.989044","0","14"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","236","240","6","295.422607","0","240"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","9","9","1","0.972930","0","9"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","244","256","6","289.661804","0","256"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","84","84","2","864.686096","0","84"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","5","5","1","2.056166","0","5"
